source, target, weight
61 , 46 , 1
61 , 143 , 1
61 , 92 , 1
63 , 162 , 1
63 , 125 , 1
63 , 36 , 1
63 , 193 , 1
63 , 200 , 1
63 , 91 , 1
63 , 0 , 1
63 , 90 , 1
63 , 192 , 1
63 , 182 , 1
63 , 63 , 1
63 , 143 , 1
63 , 154 , 1
63 , 161 , 1
63 , 66 , 1
63 , 5 , 1
63 , 207 , 1
63 , 29 , 1
62 , 148 , 1
62 , 149 , 1
62 , 38 , 1
62 , 83 , 1
62 , 180 , 1
62 , 24 , 1
62 , 128 , 1
62 , 71 , 1
62 , 116 , 1
62 , 84 , 1
62 , 62 , 1
62 , 147 , 1
64 , 182 , 1
64 , 139 , 1
64 , 113 , 1
64 , 40 , 1
64 , 171 , 1
64 , 169 , 1
64 , 141 , 1
64 , 64 , 1
64 , 18 , 1
64 , 42 , 1
64 , 22 , 1
64 , 176 , 1
64 , 20 , 1
64 , 204 , 1
64 , 12 , 1
65 , 173 , 1
65 , 65 , 1
65 , 221 , 1
65 , 30 , 1
65 , 100 , 1
65 , 105 , 1
66 , 66 , 1
66 , 149 , 1
66 , 73 , 1
66 , 143 , 1
66 , 124 , 1
66 , 125 , 1
67 , 171 , 1
67 , 152 , 1
67 , 139 , 1
67 , 107 , 1
67 , 164 , 1
67 , 113 , 1
67 , 209 , 1
67 , 67 , 1
67 , 94 , 1
67 , 169 , 1
67 , 136 , 1
67 , 72 , 1
67 , 22 , 1
67 , 53 , 1
67 , 115 , 1
67 , 104 , 1
67 , 119 , 1
67 , 79 , 1
68 , 192 , 1
68 , 40 , 1
68 , 59 , 1
68 , 68 , 1
68 , 129 , 1
68 , 18 , 1
68 , 123 , 1
69 , 74 , 1
69 , 145 , 1
69 , 69 , 1
69 , 119 , 1
70 , 72 , 1
70 , 94 , 1
70 , 18 , 1
70 , 95 , 1
70 , 67 , 1
70 , 143 , 1
70 , 152 , 1
70 , 35 , 1
70 , 107 , 1
71 , 143 , 1
71 , 24 , 1
71 , 71 , 1
71 , 17 , 1
71 , 38 , 1
71 , 62 , 1
71 , 102 , 1
71 , 187 , 1
71 , 163 , 1
71 , 116 , 1
71 , 97 , 1
72 , 119 , 1
72 , 115 , 1
72 , 94 , 1
72 , 113 , 1
72 , 123 , 1
72 , 72 , 1
72 , 67 , 1
72 , 70 , 1
72 , 107 , 1
72 , 21 , 1
72 , 10 , 1
72 , 136 , 1
72 , 152 , 1
72 , 22 , 1
72 , 53 , 1
72 , 164 , 1
72 , 139 , 1
72 , 171 , 1
73 , 143 , 1
73 , 161 , 1
73 , 8 , 1
73 , 132 , 1
73 , 66 , 1
73 , 0 , 1
73 , 95 , 1
73 , 73 , 1
75 , 112 , 1
75 , 85 , 1
75 , 35 , 1
75 , 75 , 1
76 , 177 , 1
76 , 179 , 1
76 , 202 , 1
76 , 76 , 1
76 , 126 , 1
74 , 143 , 1
74 , 69 , 1
74 , 74 , 1
77 , 77 , 1
77 , 78 , 1
77 , 55 , 1
77 , 81 , 1
77 , 47 , 1
77 , 72 , 1
77 , 109 , 1
77 , 171 , 1
77 , 28 , 1
77 , 218 , 1
77 , 45 , 1
77 , 59 , 1
77 , 113 , 1
77 , 49 , 1
77 , 61 , 1
77 , 152 , 1
77 , 199 , 1
77 , 10 , 1
77 , 123 , 1
77 , 22 , 1
77 , 107 , 1
77 , 169 , 1
77 , 99 , 1
78 , 49 , 1
78 , 164 , 1
78 , 77 , 1
78 , 178 , 1
78 , 136 , 1
78 , 18 , 1
78 , 81 , 1
78 , 118 , 1
78 , 174 , 1
78 , 171 , 1
78 , 123 , 1
78 , 115 , 1
78 , 114 , 1
78 , 139 , 1
78 , 26 , 1
78 , 218 , 1
78 , 80 , 1
78 , 53 , 1
78 , 94 , 1
78 , 78 , 1
78 , 152 , 1
79 , 115 , 1
79 , 53 , 1
79 , 80 , 1
79 , 209 , 1
79 , 171 , 1
79 , 18 , 1
79 , 141 , 1
79 , 79 , 1
80 , 171 , 1
80 , 49 , 1
80 , 79 , 1
80 , 80 , 1
80 , 178 , 1
80 , 139 , 1
80 , 18 , 1
80 , 78 , 1
80 , 204 , 1
80 , 115 , 1
80 , 53 , 1
80 , 20 , 1
81 , 9 , 1
81 , 82 , 1
81 , 28 , 1
81 , 123 , 1
81 , 94 , 1
81 , 78 , 1
81 , 22 , 1
81 , 139 , 1
81 , 136 , 1
81 , 214 , 1
81 , 42 , 1
81 , 104 , 1
81 , 81 , 1
81 , 92 , 1
81 , 58 , 1
81 , 216 , 1
81 , 109 , 1
81 , 52 , 1
81 , 111 , 1
81 , 118 , 1
81 , 55 , 1
81 , 99 , 1
81 , 44 , 1
81 , 185 , 1
81 , 217 , 1
81 , 156 , 1
81 , 45 , 1
81 , 86 , 1
81 , 41 , 1
81 , 196 , 1
81 , 47 , 1
81 , 26 , 1
81 , 218 , 1
81 , 169 , 1
81 , 127 , 1
82 , 10 , 1
82 , 113 , 1
82 , 86 , 1
82 , 45 , 1
82 , 81 , 1
82 , 210 , 1
82 , 136 , 1
82 , 49 , 1
82 , 115 , 1
82 , 169 , 1
82 , 72 , 1
82 , 199 , 1
82 , 198 , 1
82 , 22 , 1
82 , 123 , 1
82 , 139 , 1
82 , 42 , 1
82 , 164 , 1
82 , 106 , 1
82 , 214 , 1
82 , 82 , 1
82 , 218 , 1
82 , 58 , 1
82 , 141 , 1
82 , 171 , 1
82 , 152 , 1
83 , 220 , 1
83 , 163 , 1
83 , 212 , 1
83 , 24 , 1
83 , 62 , 1
83 , 83 , 1
83 , 87 , 1
84 , 30 , 1
84 , 157 , 1
84 , 40 , 1
84 , 84 , 1
84 , 66 , 1
84 , 149 , 1
84 , 24 , 1
84 , 187 , 1
84 , 91 , 1
84 , 171 , 1
84 , 35 , 1
84 , 38 , 1
84 , 62 , 1
85 , 75 , 1
85 , 112 , 1
85 , 85 , 1
86 , 81 , 1
86 , 164 , 1
86 , 86 , 1
86 , 113 , 1
86 , 22 , 1
86 , 139 , 1
86 , 67 , 1
86 , 115 , 1
86 , 49 , 1
86 , 171 , 1
86 , 96 , 1
87 , 176 , 1
87 , 154 , 1
87 , 212 , 1
87 , 17 , 1
87 , 106 , 1
87 , 171 , 1
87 , 87 , 1
87 , 115 , 1
87 , 27 , 1
88 , 88 , 1
88 , 77 , 1
88 , 75 , 1
88 , 35 , 1
88 , 85 , 1
89 , 215 , 1
89 , 87 , 1
89 , 147 , 1
89 , 59 , 1
89 , 182 , 1
89 , 27 , 1
89 , 159 , 1
89 , 89 , 1
90 , 35 , 1
90 , 117 , 1
90 , 207 , 1
90 , 90 , 1
90 , 91 , 1
90 , 76 , 1
90 , 200 , 1
90 , 29 , 1
90 , 189 , 1
90 , 51 , 1
90 , 143 , 1
90 , 63 , 1
90 , 145 , 1
90 , 1 , 1
90 , 159 , 1
90 , 193 , 1
90 , 179 , 1
90 , 36 , 1
90 , 40 , 1
90 , 151 , 1
90 , 208 , 1
91 , 75 , 1
91 , 112 , 1
91 , 154 , 1
91 , 193 , 1
91 , 85 , 1
91 , 90 , 1
91 , 215 , 1
91 , 87 , 1
91 , 143 , 1
91 , 63 , 1
91 , 40 , 1
91 , 212 , 1
91 , 207 , 1
91 , 91 , 1
92 , 92 , 1
92 , 217 , 1
92 , 46 , 1
92 , 218 , 1
92 , 55 , 1
92 , 104 , 1
92 , 169 , 1
92 , 123 , 1
92 , 47 , 1
92 , 171 , 1
92 , 186 , 1
92 , 59 , 1
92 , 52 , 1
92 , 139 , 1
92 , 185 , 1
92 , 28 , 1
92 , 44 , 1
92 , 118 , 1
92 , 109 , 1
92 , 119 , 1
92 , 81 , 1
92 , 58 , 1
92 , 61 , 1
92 , 9 , 1
93 , 67 , 1
93 , 145 , 1
93 , 114 , 1
93 , 119 , 1
93 , 53 , 1
93 , 171 , 1
93 , 49 , 1
93 , 93 , 1
93 , 18 , 1
93 , 209 , 1
93 , 20 , 1
93 , 96 , 1
93 , 115 , 1
94 , 70 , 1
94 , 107 , 1
94 , 94 , 1
94 , 72 , 1
94 , 67 , 1
94 , 152 , 1
95 , 114 , 1
95 , 155 , 1
95 , 73 , 1
95 , 20 , 1
95 , 143 , 1
95 , 67 , 1
95 , 113 , 1
95 , 80 , 1
95 , 33 , 1
95 , 22 , 1
95 , 66 , 1
95 , 53 , 1
95 , 49 , 1
95 , 125 , 1
95 , 96 , 1
95 , 115 , 1
95 , 69 , 1
95 , 26 , 1
95 , 171 , 1
95 , 204 , 1
95 , 137 , 1
95 , 119 , 1
95 , 79 , 1
95 , 206 , 1
95 , 18 , 1
95 , 74 , 1
95 , 43 , 1
95 , 19 , 1
95 , 0 , 1
95 , 8 , 1
95 , 209 , 1
95 , 70 , 1
95 , 169 , 1
95 , 175 , 1
95 , 174 , 1
95 , 124 , 1
95 , 141 , 1
95 , 25 , 1
95 , 149 , 1
95 , 10 , 1
95 , 196 , 1
95 , 184 , 1
95 , 98 , 1
95 , 95 , 1
95 , 4 , 1
95 , 152 , 1
95 , 132 , 1
95 , 12 , 1
96 , 115 , 1
96 , 171 , 1
96 , 96 , 1
97 , 74 , 1
97 , 143 , 1
97 , 23 , 1
97 , 97 , 1
97 , 145 , 1
97 , 116 , 1
97 , 62 , 1
97 , 163 , 1
97 , 196 , 1
97 , 65 , 1
97 , 30 , 1
97 , 66 , 1
97 , 217 , 1
98 , 98 , 1
98 , 0 , 1
99 , 49 , 1
99 , 139 , 1
99 , 99 , 1
99 , 118 , 1
99 , 45 , 1
99 , 136 , 1
99 , 52 , 1
99 , 81 , 1
99 , 218 , 1
99 , 44 , 1
99 , 58 , 1
99 , 55 , 1
99 , 123 , 1
99 , 77 , 1
100 , 173 , 1
100 , 100 , 1
100 , 105 , 1
100 , 65 , 1
100 , 221 , 1
101 , 48 , 1
101 , 170 , 1
101 , 66 , 1
101 , 194 , 1
101 , 201 , 1
101 , 101 , 1
101 , 184 , 1
101 , 211 , 1
101 , 15 , 1
102 , 114 , 1
102 , 66 , 1
102 , 187 , 1
102 , 152 , 1
102 , 107 , 1
102 , 102 , 1
102 , 149 , 1
102 , 116 , 1
102 , 139 , 1
102 , 163 , 1
102 , 71 , 1
103 , 161 , 1
103 , 30 , 1
103 , 143 , 1
103 , 8 , 1
103 , 197 , 1
103 , 132 , 1
103 , 103 , 1
103 , 221 , 1
104 , 143 , 1
104 , 171 , 1
104 , 118 , 1
104 , 41 , 1
104 , 55 , 1
104 , 81 , 1
104 , 174 , 1
104 , 49 , 1
104 , 123 , 1
104 , 44 , 1
104 , 218 , 1
104 , 26 , 1
104 , 104 , 1
104 , 222 , 1
104 , 45 , 1
105 , 105 , 1
105 , 173 , 1
105 , 100 , 1
105 , 30 , 1
105 , 65 , 1
105 , 221 , 1
106 , 119 , 1
106 , 9 , 1
106 , 31 , 1
106 , 185 , 1
106 , 106 , 1
106 , 96 , 1
106 , 87 , 1
106 , 136 , 1
107 , 18 , 1
107 , 123 , 1
107 , 67 , 1
107 , 70 , 1
107 , 139 , 1
107 , 94 , 1
107 , 115 , 1
107 , 204 , 1
107 , 74 , 1
107 , 77 , 1
